  x             y         z
  -1.430  0.1781E+03  0.3965E+03
  -1.400  0.1059E+03  0.3996E+03
  -1.370  0.1191E+02  0.4000E+03
  -1.340  0.3213E+00  0.4000E+03
  -1.310  0.6805E+01  0.4002E+03
  -1.280  0.6003E+02  0.4020E+03
  -1.250  0.8423E+02  0.4045E+03
  -1.220  0.6882E+02  0.4066E+03
  -1.190  0.1327E+03  0.4106E+03
  -1.160  0.1568E+03  0.4153E+03
  -1.130  0.6471E+02  0.4172E+03
  -1.100  0.5867E+02  0.4190E+03
  -1.070  0.4639E+02  0.4204E+03
  -1.040  0.1119E+03  0.4237E+03
  -1.010  0.9803E+02  0.4267E+03
